trophicDiet,trophicOrig,Picture,rachelSpp,rachelCommon,trophicLevel,trophicLevel.se,spp,common,phylum,taxLvl,species,genus,family,order,class,superclass,subphylum,kingdom,raw.spp,isSpecies,correctSpp
y,y,y,Haemulon carbonarium,caesar grunt,3.68,0.18,Haemulon carbonarium,caesar grunt,Chordata,Species,Haemulon carbonarium,Haemulon,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HAEMULO CARBOARIUM,TRUE,TRUE
n,y,y,Haemulon plumierii,white grunt,3.78,0.59,Haemulon plumieri,ronco arar_,Chordata,Species,Haemulon plumierii,Haemulon,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HAEMULO PLUMIERI,TRUE,TRUE
n,y,y,Haemulon plumierii,white grunt,3.78,0.59,Haemulon plumieri,ronco arar_,Chordata,Species,Haemulon plumierii,Haemulon,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HAEMULON PLUMIERI,TRUE,TRUE
y,y,y,Haemulon sciurus,bluestriped grunt,3.48,0.22,Haemulon sciurus,NA,Chordata,Species,Haemulon sciurus,Haemulon,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HAEMULON SCIURUS,TRUE,TRUE
n,y,n,Halargyreus johnsonii,slender colding,3.38,0.47,Halargyreus johnsoni,NA,Chordata,Species,Halargyreus johnsonii,Halargyreus,Moridae,Gadiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Halargyreus johnsoni,TRUE,TRUE
n,y,n,Halargyreus johnsonii,slender colding,3.38,0.47,Halargyreus johnsonii,slender codling,Chordata,Species,Halargyreus johnsonii,Halargyreus,Moridae,Gadiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALARGYREUS JOHNSONII,TRUE,TRUE
NA,NA,NA,Halicardia perplicata,NA,NA,NA,Halicardia perplicata,true soft corals,Mollusca,Species,Halicardia perplicata,Halicardia,Verticordiidae,Anomalodesmata,Bivalvia,NA,NA,Animalia,Halicardia perplicata,TRUE,TRUE
NA,NA,y,Halichoeres bathyphilus,greenband wrasse,NA,NA,Halichoeres bathyphilus,sand lances,Chordata,Species,Halichoeres bathyphilus,Halichoeres,Labridae,Labriformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALICHOERES BATHYPHILUS,TRUE,TRUE
y,y,y,Halichoeres bivittatus,slippery dick,3.82,0.12,Halichoeres bivittatus,slippery dick,Chordata,Species,Halichoeres bivittatus,Halichoeres,Labridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALICHOERES BIVITTATUS,TRUE,TRUE
NA,NA,y,Halichoeres caudalis,painted wrasse,NA,NA,Halichoeres caudalis,painted wrasse,Chordata,Species,Halichoeres caudalis,Halichoeres,Labridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALICHOERES CAUDALIS,TRUE,TRUE
y,y,y,Halichoeres garnoti,yellowhead wrasse,3.7,0.24,Halichoeres garnoti,yellowhead wrasse,Chordata,Species,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALICHOERES GAROTI,TRUE,TRUE
,,,,,NA,NA,Halichondria,Klumpenschwamm,Porifera,Genus,NA,Halichondria,Halichondriidae,Halichondrida,Demospongiae,NA,NA,Animalia,Halichondria sp.,FALSE,TRUE
NA,NA,y,Halichondria panicea,bread-crumb sponge,NA,NA,Halichondria panicea,breadcrumb sponge,Porifera,Species,Halichondria panicea,Halichondria,Halichondriidae,Halichondrida,Demospongiae,NA,NA,Animalia,Halichondria panicea,TRUE,TRUE
NA,NA,y,Halichondria sitiens,NA,NA,NA,Halichondria sitiens,Breast Sponge,Porifera,Species,Halichondria sitiens,Halichondria,Halichondriidae,Halichondrida,Demospongiae,NA,NA,Animalia,Halichondria cf. sitiens,TRUE,TRUE
NA,NA,y,Halichondria sitiens,NA,NA,NA,Halichondria sitiens,Breast Sponge,Porifera,Species,Halichondria sitiens,Halichondria,Halichondriidae,Halichondrida,Demospongiae,NA,NA,Animalia,Halichondria sitiens,TRUE,TRUE
NA,NA,y,Halieutichthys aculeatus,pancake batfish,NA,NA,Halieutichthys aculeatus,pancake batfish,Chordata,Species,Halieutichthys aculeatus,Halieutichthys,Ogcocephalidae,Lophiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALIEUTICHTHYS ACULEATUS,TRUE,TRUE
,,,,,NA,NA,Halipteris,NA,Cnidaria,Genus,NA,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,Halipteris sp.,FALSE,TRUE
,,,,,NA,NA,Halipteris,NA,Cnidaria,Genus,NA,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,Halipteris spp.,FALSE,TRUE
,,,,,NA,NA,Halipteris,NA,Cnidaria,Genus,NA,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,HALIPTERUS (BALTICINA) SP.,FALSE,TRUE
NA,NA,NA,Halipteris californica,NA,NA,NA,Halipteris californica,NA,Cnidaria,Species,Halipteris californica,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,Halipteris californica,TRUE,TRUE
NA,NA,NA,Halipteris finmarchica,NA,NA,NA,Halipteris finmarchica,NA,Cnidaria,Species,Halipteris finmarchica,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,Halipteris finmarchia,TRUE,TRUE
NA,NA,NA,Halipteris finmarchica,NA,NA,NA,Halipteris finmarchica,NA,Cnidaria,Species,Halipteris finmarchica,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,HALIPTERIS FINMARCHIA (SEA PEN),TRUE,TRUE
NA,NA,y,Halipteris willemoesi,NA,NA,NA,Halipteris willemoesi,NA,Cnidaria,Species,Halipteris willemoesi,Halipteris,Halipteridae,Pennatulacea,Anthozoa,NA,Anthozoa,Animalia,Halipteris willemoesi,TRUE,TRUE
,,,,,NA,NA,Halocynthia,tunicates,Chordata,Genus,NA,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,Halocynthia sp.,FALSE,TRUE
,,,,,NA,NA,Halocynthia,tunicates,Chordata,Genus,NA,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,Halocynthia spp.,FALSE,TRUE
NA,NA,y,Halocynthia aurantium,sea peach,NA,NA,Halocynthia aurantium,sea peach,Chordata,Species,Halocynthia aurantium,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,Halocynthia aurantium,TRUE,TRUE
NA,NA,NA,Halocynthia dumosa,spiny sea squirt,NA,NA,Halocynthia hispida,NA,Chordata,Species,Halocynthia dumosa,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,Halocynthia hispidus,TRUE,TRUE
NA,NA,y,Halocynthia igaboja,NA,NA,NA,Halocynthia igaboja,bristly tunicate,Chordata,Species,Halocynthia igaboja,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,Halocynthia igaboja,TRUE,TRUE
NA,NA,y,Halocynthia pyriformis,sea peach,NA,NA,Halocynthia pyriformis,sea peach,Chordata,Species,Halocynthia pyriformis,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Animalia,HALOCYNTHIA PYRIFORMIS,TRUE,TRUE
,,,,,NA,NA,Halosauridae,halosaurs,Chordata,Family,NA,NA,Halosauridae,Albuliformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALOSAURIDAE,FALSE,TRUE
n,y,y,Halosauropsis macrochir,abyssal halosaur,3.27,0.36,Halosauropsis macrochir,American sand lance,Chordata,Species,Halosauropsis macrochir,Halosauropsis,Halosauridae,Notacanthiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALOSAUROPSIS MACROCHIR,TRUE,TRUE
n,y,n,Halosaurus guentheri,NA,3.39,0.41,Halosaurus guentheri,northern sand lance,Chordata,Species,Halosaurus guentheri,Halocynthia,Halosauridae,Notacanthiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HALOSAURUS GUENTHERI,TRUE,TRUE
NA,NA,y,Halosydna brevisetosa,short-scaled worm,NA,NA,Halosydna brevisetosa,NA,Annelida,Species,Halosydna brevisetosa,Halosydna,Polynoidae,Phyllodocida,Errantia,NA,Polychaeta,Animalia,Halosydna brevisetosa,TRUE,TRUE
NA,NA,y,Haminoea solitaria,solitary glassy-bubble,NA,NA,Haminoea solitaria,solitary glassy-bubble,Mollusca,Species,Haminoea solitaria,Haminoea,Haminoeidae,Cephalaspidea,Gastropoda,NA,NA,Animalia,HAMINOEA SOLITARIA,TRUE,TRUE
,,,,,NA,NA,Hapalogaster,furry crab,Arthropoda,Genus,NA,Hapalogaster,Lithodidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Hapalogaster sp.,FALSE,TRUE
NA,NA,y,Hapalogaster grebnitzkii,soft crab,NA,NA,Hapalogaster grebnitzkii,soft crab,Arthropoda,Species,Hapalogaster grebnitzkii,Hapalogaster,Lithodidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Hapalogaster grebnitzkii,TRUE,TRUE
n,y,y,Harengula jaguana,scaled herring,3.4,0.45,Haregula jaguaa,scaled sardine,Chordata,Species,Harengula jaguana,Harengula,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HAREGULA JAGUAA,TRUE,TRUE
n,y,y,Harengula jaguana,scaled herring,3.4,0.45,Harengula jaguana,scaled sardine,Chordata,Species,Harengula jaguana,Harengula,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HARENGULA JAGUANA,TRUE,TRUE
n,y,y,Harriotta raleighana,pacific longnose chimaera,3.55,0.5,Harriotta raleighana,Pacific longnose chimaera,Chordata,Species,Harriotta raleighana,Harriotta,Rhinochimaeridae,Chimaeriformes,Chondrichthyes,Chondrichthyes,Vertebrata,Animalia,Harriotta raleighana,TRUE,TRUE
n,y,y,Harriotta raleighana,pacific longnose chimaera,3.55,0.5,Harriotta raleighana,Pacific longnose chimaera,Chordata,Species,Harriotta raleighana,Harriotta,Rhinochimaeridae,Chimaeriformes,Chondrichthyes,Chondrichthyes,Vertebrata,Animalia,HARRIOTTA RALEIGHANA,TRUE,TRUE
NA,NA,NA,Heilprinia timessa,turnip spindle,NA,NA,Heilprinia timessa,Pacific sand lance,Mollusca,Species,Heilprinia timessa,Heilprinia,Fasciolariidae,Neogastropoda,Gastropoda,NA,NA,Animalia,HEILPRIIA TIMESSUS,TRUE,TRUE
NA,NA,y,Heterocrypta granulata,smooth elbow crab,NA,NA,Helerocrypta granulata,NA,Arthropoda,Species,Heterocrypta granulata,Heterocrypta,Parthenopidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,HETEROCRYPTA GRAULATA,TRUE,TRUE
n,y,y,Helicolenus dactylopterus,blackbelly rosefish,3.8,0.58,Helicolenus dactylopterus,blackbelly rosefish,Chordata,Species,Helicolenus dactylopterus,Helicolenus,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HELICOLENUS DACTYLOPTERUS,TRUE,TRUE
n,y,y,Helicolenus dactylopterus,blackbelly rosefish,3.8,0.58,Helicolenus dactylopterus,blackbelly rosefish,Chordata,Species,Helicolenus dactylopterus,Helicolenus,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HELICOLENUS DACYTLOPTERUS,TRUE,TRUE
NA,NA,y,Heliometra glacialis,NA,NA,NA,Heliometra glacialis,NA,Echinodermata,Species,Heliometra glacialis,Heliometra,Antedonidae,Comatulida,Crinoidea,NA,Crinozoa,Animalia,Heliometra glacialis,TRUE,TRUE
NA,NA,y,Baldwinella aureorubens,streamer bass,NA,NA,Hemanthias aureorubens,streamer bass,Chordata,Species,Baldwinella aureorubens,Baldwinella,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMANTHIAS AUREORUBENS,TRUE,TRUE
NA,NA,y,Baldwinella aureorubens,streamer bass,NA,NA,Hemanthias aureorubens,streamer bass,Chordata,Species,Baldwinella aureorubens,Baldwinella,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMATHIAS AUREORUBES,TRUE,TRUE
NA,NA,y,Hemanthias leptus,longtail bass,NA,NA,Hemanthias leptus,true soft corals,Chordata,species,Hemanthias leptus,Hemanthias,Serranidae,Perciformes,Actinopteri,Actinopterygii,Craniata,Metazoa,HEMATHIAS LEPTUS,TRUE,TRUE
NA,NA,y,Baldwinella vivanus,red barbier,NA,NA,Hemanthias vivanus,red barbier,Chordata,Species,Baldwinella vivanus,Baldwinella,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMANTHIAS VIVANUS,TRUE,TRUE
NA,NA,y,Baldwinella vivanus,red barbier,NA,NA,Hemanthias vivanus,red barbier,Chordata,Species,Baldwinella vivanus,Baldwinella,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMATHIAS VIVAUS,TRUE,TRUE
y,y,y,Hemicaranx amblyrhynchus,bluntnose jack,3.87,0.32,Hemicaranx amblyrhynchus,bluntnose jack,Chordata,Species,Hemicaranx amblyrhynchus,Hemicaranx,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMICARANX AMBLYRHYNCHUS,TRUE,TRUE
y,y,y,Hemicaranx amblyrhynchus,bluntnose jack,3.87,0.32,Hemicarax amblyrhychus,bluntnose jack,Chordata,Species,Hemicaranx amblyrhynchus,Hemicaranx,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMICARAX AMBLYRHYCHUS,TRUE,TRUE
,,,,,NA,NA,Hemilepidotus,Vestamerikansk ulk,Chordata,Genus,NA,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus sp.,FALSE,TRUE
y,y,n,Hemilepidotus gilberti,Gilbert's Irish Lord,3.58,0.1,Hemilepidotus gilberti,Japanese irish lord,Chordata,Species,Hemilepidotus gilberti,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus gilberti,TRUE,TRUE
y,y,y,Hemilepidotus hemilepidotus,red Irish Lord,3.53,0.57,Hemilepidotus hemilepidotus,red Irish lord,Chordata,Species,Hemilepidotus hemilepidotus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus hemilepidotus,TRUE,TRUE
y,n,y,Hemilepidotus jordani,yellow Irish Lord,3.65,0.51,Hemilepidotus jordani,yellow Irish lord,Chordata,Species,Hemilepidotus jordani,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus jordani,TRUE,TRUE
n,y,n,Hemilepidotus papilio,butterfly sculpin,3.5,0.5,Hemilepidotus papilio,butterfly sculpin,Chordata,Species,Hemilepidotus papilio,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus papilio,TRUE,TRUE
n,y,y,Hemilepidotus spinosus,brown Irish Lord,3.5,0.5,Hemilepidotus spinosus,brown Irish lord,Chordata,Species,Hemilepidotus spinosus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus spinosus,TRUE,TRUE
NA,NA,n,Hemilepidotus zapus,longfin Irish Lord,NA,NA,Hemilepidotus zapus,longfin Irish lord,Chordata,Species,Hemilepidotus zapus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemilepidotus zapus,TRUE,TRUE
n,y,y,Xyrichtys martinicensis,rosy razorfish,3.5,0.37,Hemipteronotus martinicensis,NA,Chordata,Species,Xyrichtys martinicensis,Xyrichtys,Labridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMIPTEROOTUS MARTIICESIS,TRUE,TRUE
y,y,y,Xyrichtys novacula,pearly razorfish,3.51,0.09,Hemipteronotus novacula,pearly razorfish,Chordata,Species,Xyrichtys novacula,Xyrichtys,Labridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMIPTEROOTUS OVACULA,TRUE,TRUE
,,,,,NA,NA,Hemiramphidae,demi-becs,Chordata,Family,NA,NA,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMIRAMPHIDAE,FALSE,TRUE
y,y,y,Hemiramphus balao,balao halfbeak,3.85,0.26,Hemiramphus balao,balao,Chordata,Species,Hemiramphus balao,Hemiramphus,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMIRAMPHUS BALAO,TRUE,TRUE
y,y,y,Hemiramphus brasiliensis,ballyhoo halfbeak,2.28,0.13,Hemiramphus brasiliensis,sand lances,Chordata,Species,Hemiramphus brasiliensis,Hemiramphus,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMIRAMPHUS BRASILIESIS,TRUE,TRUE
NA,NA,y,Hemisquilla californiensis,NA,NA,NA,Hemisquilla californiensis,Nordische Korkkoralle,Arthropoda,Species,Hemisquilla californiensis,Hemisquilla,Hemisquillidae,Stomatopada,Malacostraca,NA,Crustacea,Animalia,Hemisquilla californiensis,TRUE,TRUE
NA,NA,NA,Hemithiris psittacea,NA,NA,NA,Hemithiris psittacea,rhynchonella grise,Brachiopoda,Species,Hemithiris psittacea,Hemithiris,Hemithyrididae,Rhynchonellida,Rhynchonellata,NA,Rhynchonelliformea,Animalia,Hemithiris psittacea,TRUE,TRUE
,,,,,NA,NA,Hemithyridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemithyridae,FALSE,TRUE
y,y,y,Hemitripterus americanus,sea raven,4.45,0.54,Hemitripterus americanus,sea raven,Chordata,Species,Hemitripterus americanus,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HEMITRIPTERUS AMERICANUS,TRUE,TRUE
y,y,y,Hemitripterus bolini,bigmouth sculpin,4.49,0.79,Hemitripterus bolini,bigmouth sculpin,Chordata,Species,Hemitripterus bolini,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemitripterus bolini,TRUE,TRUE
y,y,n,Hemitripterus villosus,shaggy sculpin,4.3,0.39,Hemitripterus villosus,Shaggy sculpin,Chordata,Species,Hemitripterus villosus,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hemitripterus villosus,TRUE,TRUE
,,,,,NA,NA,Henrica,Inquisivi Spinetail,Chordata,Species,Cranioleuca henricae,Cranioleuca,Furnariidae,Passeriformes,Aves,Tetrapoda,Vertebrata,Animalia,HENRICA SP.,FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia aleutica,TRUE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp.,FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,HENRICIA SP.,FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp. A (Clark 2006),FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp. B (Clark 2006),FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp. C (Clark 2006),FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp. D (Clark 2006),FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sp. E (Clark 2006),FALSE,TRUE
,,,,,NA,NA,Henricia,sea star,Echinodermata,Genus,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia spp.,FALSE,TRUE
NA,NA,NA,Henricia aspera,NA,NA,NA,Henricia aspera,NA,Echinodermata,Species,Henricia aspera,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia aspera,TRUE,TRUE
NA,NA,NA,Henricia asthenactis,NA,NA,NA,Henricia asthenactis,NA,Echinodermata,Species,Henricia asthenactis,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia asthenactis,TRUE,TRUE
NA,NA,NA,Henricia beringiania,NA,NA,NA,Henricia beringiania,NA,Echinodermata,Species,Henricia beringiania,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia beringiania,TRUE,TRUE
NA,NA,NA,Henricia clarki,NA,NA,NA,Henricia clarki,NA,Echinodermata,Species,Henricia clarki,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia clarki,TRUE,TRUE
NA,NA,y,Henricia leviuscula,pacific blood star,NA,NA,Henricia leviuscula,Pacific blood star,Echinodermata,Species,Henricia leviuscula,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia leviuscula,TRUE,TRUE
NA,NA,NA,Henricia longispina,NA,NA,NA,Henricia longispina,NA,Echinodermata,Species,Henricia longispina,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia longispina,TRUE,TRUE
NA,NA,y,Henricia sanguinolenta,sea star,NA,NA,Henricia sanguinolenta,Blutstern,Echinodermata,Species,Henricia sanguinolenta,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia sanguinolenta,TRUE,TRUE
NA,NA,y,Henricia sanguinolenta,sea star,NA,NA,Henricia sanguinolenta,Blutstern,Echinodermata,Species,Henricia sanguinolenta,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,HENRICIA SANGUINOLENTA,TRUE,TRUE
NA,NA,NA,Henricia spiculifera,NA,NA,NA,Henricia spiculifera,NA,Echinodermata,Species,Henricia spiculifera,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia spiculifera,TRUE,TRUE
NA,NA,NA,Henricia tumida,NA,NA,NA,Henricia tumida,blood star,Echinodermata,Species,Henricia tumida,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Henricia tumida,TRUE,TRUE
,,,,,NA,NA,Hepatus,calico box crab,Arthropoda,Genus,NA,Hepatus,Hepatidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,HEPATUS,FALSE,TRUE
NA,NA,y,Hepatus epheliticus,calico box crab,NA,NA,Hepatus epheliticus,calico box crab,Arthropoda,Species,Hepatus epheliticus,Hepatus,Hepatidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,HEPATUS EPHELITICUS,TRUE,TRUE
y,y,y,Hepatus pudibundus,flecked box crab,3.22,0.47,Hepatus pudibundus,flecked box crab,Arthropoda,Species,Hepatus pudibundus,Hepatus,Hepatidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,HEPATUS PUDIBUDUS,TRUE,TRUE
,,,,,NA,NA,Heptacarpus,stout coastal shrimp,Arthropoda,Genus,NA,Heptacarpus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Heptacarpus sp.,FALSE,TRUE
NA,NA,y,Heptacarpus flexus,slenderbeak coastal shrimp,NA,NA,Heptacarpus flexus,slenderbeak coastal shrimp,Arthropoda,Species,Heptacarpus flexus,Heptacarpus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Heptacarpus flexus,TRUE,TRUE
NA,NA,NA,Heptacarpus maxillipes,aleutian coastal shrimp,NA,NA,Heptacarpus maxillipes,NA,Arthropoda,Species,Heptacarpus maxillipes,Heptacarpus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Heptacarpus maxillipes,TRUE,TRUE
n,y,y,Hermissenda crassicornis,hermissenda,3.6,0.37,Hermissenda crassicornis,soft corals,Mollusca,Species,Hermissenda crassicornis,Hermissenda,Glaucidae,Nudibranchia,Gastropoda,NA,NA,Animalia,Hermissenda crassicornis,TRUE,TRUE
NA,NA,y,Hermodice carunculata,fireworm,NA,NA,Hermodice carunculata,NA,Annelida,Species ,Hermodice carunculata,Hermodice,Amphinomidae,Aciculata,Polychaeta,NA,NA,Animalia,HERMODICE CARUCULATA,TRUE,TRUE
NA,NA,y,Heterocarpus ensifer,armed nylon shrimp,NA,NA,Heterocarpus ensifer,armed nylon shrimp,Arthropoda,Species,Heterocarpus ensifer,Heterocarpus,Pandalidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Heterocarpus esifer,TRUE,TRUE
NA,NA,y,Heterochone calyx,NA,NA,NA,Heterochone calyx,Fingered Goblet Sponge,Porifera,Species,Heterochone calyx,Heterochone,Aphrocallistidae,Hexactinosida,Hexactinellida,NA,NA,Animalia,Heterochone calyx,TRUE,TRUE
NA,NA,NA,Heterochone tenera,NA,NA,NA,Heterochone tenera,NA,Porifera,Species,Heterochone tenera,Heterochone,Aphrocallistidae,Hexactinosida,Hexactinellida,NA,NA,Animalia,Heterochone tenerum,TRUE,TRUE
,,,,,NA,NA,Heterodontinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HETERODONTIDA,FALSE,TRUE
,,,,,NA,NA,Heteropoda,giant crab spider,Arthropoda,Genus,NA,Heteropoda,Sparassidae,Araneae,Arachnida,NA,Chelicerata,Animalia,HETEROPODA,FALSE,TRUE
y,y,y,Heteropriacanthus cruentatus,glasseye,3.61,0.16,Heteropriacanthus cruentatus,glasseye,Chordata,Species,Heteropriacanthus cruentatus,Heteropriacanthus,Priacanthidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,HETEROPRIACANTHUS CRUENTATUS,TRUE,TRUE
NA,NA,NA,Heterozonias alternatus,NA,NA,NA,Heterozonias alternatus,sea star,Echinodermata,Species,Heterozonias alternatus,Heterozonias,Solasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Animalia,Heterozonias alternatus,TRUE,TRUE
,,,,,NA,NA,Hexactinellida,sea sponge,Porifera,Class,NA,NA,NA,NA,Hexactinellida,NA,NA,Animalia,Hexactinellida,FALSE,TRUE
,,,,,NA,NA,Hexactinosida,sponge,Porifera,Order,NA,NA,NA,Hexactinosida,Hexactinellida,NA,NA,Animalia,Hexactinosida,FALSE,TRUE
,,,,,NA,NA,Hexagrammidae,greenlings,Chordata,Family,NA,NA,Hexagrammidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Hexagrammidae,FALSE,TRUE
